delta_ps,good_ps,bad_ps,bad_lane,bad_bit,bad_families,key,good_text,bad_text
1379.0,540.0,1919.0,all,,['idelay_control'],INTERCONNECT:$abc$$lutddr3_top_inst.ddr3_phy_inst.i_controller_idelay_data_cntvaluein[3].A1,(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$30518.Q \$abc\$179448\$lut\\ddr3_top_inst\.ddr3_phy_inst\.i_controller_idelay_data_cntvaluein\[3\].A1 (540:540:540) (540:540:540)),(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$42761.Q \$abc\$179448\$lut\\ddr3_top_inst\.ddr3_phy_inst\.i_controller_idelay_data_cntvaluein\[3\].A1 (1919:1919:1919) (1919:1919:1919))
1367.0,463.0,1830.0,all,,['other'],INTERCONNECT:$abc$$lut$memoryddr3_top_inst.ddr3_controller_inst.o_wb_ack_read_q$wrmux[0][1][0]$y$N[0].A3,(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$29653.Q \$abc\$179448\$lut\$memory\\ddr3_top_inst\.ddr3_controller_inst\.o_wb_ack_read_q\$wrmux\[0\]\[1\]\[0\]\$y\$29026\[0\].A3 (463:463:463) (463:463:463)),(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$42770.Q \$abc\$179448\$lut\$memory\\ddr3_top_inst\.ddr3_controller_inst\.o_wb_ack_read_q\$wrmux\[0\]\[1\]\[0\]\$y\$29026\[0\].A3 (1830:1830:1830) (1830:1830:1830))
1366.0,584.0,1950.0,all,,['other'],INTERCONNECT:$abc$$lutddr3_top_inst.ddr3_controller_inst.o_wb_data[119].A4,(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$43441.Q \$abc\$179448\$lut\\ddr3_top_inst\.ddr3_controller_inst\.o_wb_data\[119\].A4 (584:584:584) (584:584:584)),(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$43369.Q \$abc\$179448\$lut\\ddr3_top_inst\.ddr3_controller_inst\.o_wb_data\[119\].A4 (1950:1950:1950) (1950:1950:1950))
1366.0,584.0,1950.0,all,,['other'],INTERCONNECT:$abc$$lutddr3_top_inst.ddr3_controller_inst.o_wb_data[74].A5,(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$43476.Q \$abc\$179448\$lut\\ddr3_top_inst\.ddr3_controller_inst\.o_wb_data\[74\].A5 (584:584:584) (584:584:584)),(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$43369.Q \$abc\$179448\$lut\\ddr3_top_inst\.ddr3_controller_inst\.o_wb_data\[74\].A5 (1950:1950:1950) (1950:1950:1950))
1357.0,442.0,1799.0,all,,['other'],INTERCONNECT:$abc$$lut$flattenddr3_top_inst.ddr3_controller_inst.$shiftx$rtl/ddr3_controller.v:0$N.buffer[66].A2,(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$42960.Q \$abc\$179448\$lut\$flatten\\ddr3_top_inst\.\\ddr3_controller_inst\.\$shiftx\$rtl/ddr3_controller\.v\:0\$9080\.buffer\[66\].A2 (442:442:442) (442:442:442)),(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$42961.Q \$abc\$179448\$lut\$flatten\\ddr3_top_inst\.\\ddr3_controller_inst\.\$shiftx\$rtl/ddr3_controller\.v\:0\$9080\.buffer\[66\].A2 (1799:1799:1799) (1799:1799:1799))
1350.0,150.0,1500.0,all,,['other'],INTERCONNECT:$abc$$lut$flattenddr3_top_inst.ddr3_controller_inst.$procmux$N_Y[10].A5,(INTERCONNECT \$abc\$179448\$lut\$aiger179447\$16267.O6 \$abc\$179448\$lut\$flatten\\ddr3_top_inst\.\\ddr3_controller_inst\.\$procmux\$26130_Y\[10\].A5 (150:150:150) (150:150:150)),(INTERCONNECT \$abc\$179448\$lut\$aiger179447\$5807.O5 \$abc\$179448\$lut\$flatten\\ddr3_top_inst\.\\ddr3_controller_inst\.\$procmux\$26130_Y\[10\].A5 (1500:1500:1500) (1500:1500:1500))
1350.0,0.0,1350.0,all,,['other'],INTERCONNECT:$abc$$lutddr3_top_inst.ddr3_controller_inst.stage1_next_row_d[12].A2,(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$43695.Q \$abc\$179448\$lut\\ddr3_top_inst\.ddr3_controller_inst\.stage1_next_row_d\[12\].A2 (0:0:0) (0:0:0)),(INTERCONNECT \$abc\$179448\$lut\$aiger179447\$8329.O5 \$abc\$179448\$lut\\ddr3_top_inst\.ddr3_controller_inst\.stage1_next_row_d\[12\].A2 (1350:1350:1350) (1350:1350:1350))
1335.0,0.0,1335.0,all,,['other'],INTERCONNECT:$abc$$lutddr3_top_inst.ddr3_controller_inst.bank_active_row_d[5][4].A5,(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$35765.Q \$abc\$179448\$lut\\ddr3_top_inst\.ddr3_controller_inst\.bank_active_row_d\[5\]\[4\].A5 (0:0:0) (0:0:0)),(INTERCONNECT \$abc\$179448\$lut\$aiger179447\$6837.O6 \$abc\$179448\$lut\\ddr3_top_inst\.ddr3_controller_inst\.bank_active_row_d\[5\]\[4\].A5 (1335:1335:1335) (1335:1335:1335))
1335.0,0.0,1335.0,all,,['other'],INTERCONNECT:$abc$$lutddr3_top_inst.ddr3_controller_inst.stage1_next_row_d[5].A3,(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$43688.Q \$abc\$179448\$lut\\ddr3_top_inst\.ddr3_controller_inst\.stage1_next_row_d\[5\].A3 (0:0:0) (0:0:0)),(INTERCONNECT \$abc\$179448\$lut\$flatten\\ddr3_top_inst\.\\ddr3_controller_inst\.\$logic_and\$rtl/ddr3_controller\.v\:1367\$7845_Y.O5 \$abc\$179448\$lut\\ddr3_top_inst\.ddr3_controller_inst\.stage1_next_row_d\[5\].A3 (1335:1335:1335) (1335:1335:1335))
1331.0,379.0,1710.0,all,,['other'],INTERCONNECT:$abc$$lut$flattenddr3_top_inst.ddr3_controller_inst.$procmux$N_Y[31].A5,(INTERCONNECT \$abc\$179448\$lut\$aiger179447\$18687.O6 \$abc\$179448\$lut\$flatten\\ddr3_top_inst\.\\ddr3_controller_inst\.\$procmux\$26130_Y\[31\].A5 (379:379:379) (379:379:379)),(INTERCONNECT \$abc\$179448\$lut\$aiger179447\$18732.O6 \$abc\$179448\$lut\$flatten\\ddr3_top_inst\.\\ddr3_controller_inst\.\$procmux\$26139_Y\[31\].A5 (1710:1710:1710) (1710:1710:1710))
1326.0,699.0,2025.0,all,,['other'],INTERCONNECT:$abc$$lut$flattenddr3_top_inst.ddr3_controller_inst.$shiftx$rtl/ddr3_controller.v:0$N.buffer[96].A5,(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$42983.Q \$abc\$179448\$lut\$flatten\\ddr3_top_inst\.\\ddr3_controller_inst\.\$shiftx\$rtl/ddr3_controller\.v\:0\$9080\.buffer\[96\].A5 (699:699:699) (699:699:699)),(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$42761.Q \$abc\$179448\$lut\$flatten\\ddr3_top_inst\.\\ddr3_controller_inst\.\$shiftx\$rtl/ddr3_controller\.v\:0\$9080\.buffer\[96\].A5 (2025:2025:2025) (2025:2025:2025))
1320.0,675.0,1995.0,all,,['other'],INTERCONNECT:$abc$$lut$flattenddr3_top_inst.ddr3_controller_inst.$procmux$N.Y[48].A3,(INTERCONNECT \$abc\$179448\$lut\$flatten\\ddr3_top_inst\.\\ddr3_controller_inst\.\$procmux\$14265\.Y\[61\].O6 \$abc\$179448\$lut\$flatten\\ddr3_top_inst\.\\ddr3_controller_inst\.\$procmux\$14265\.Y\[48\].A3 (675:675:675) (675:675:675)),(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$43205.Q \$abc\$179448\$lut\$flatten\\ddr3_top_inst\.\\ddr3_controller_inst\.\$procmux\$14265\.Y\[48\].A3 (1995:1995:1995) (1995:1995:1995))
