feature_key,feature_layer,feature,metric,family,lane,bit,control_bit,scope,n_pairs,fail_to_pass_n,fail_to_pass_median_delta,fail_to_pass_median_delta_abs,fail_to_pass_abs_improved,fail_to_pass_abs_worsened,fail_to_pass_sign_flip,pass_to_fail_n,pass_to_fail_median_delta,pass_to_fail_median_delta_abs,pass_to_fail_abs_improved,pass_to_fail_abs_worsened,pass_to_fail_sign_flip,fail_to_fail_n,fail_to_fail_median_delta,fail_to_fail_median_delta_abs,fail_to_fail_abs_improved,fail_to_fail_abs_worsened,fail_to_fail_sign_flip,pass_to_pass_n,pass_to_pass_median_delta,pass_to_pass_median_delta_abs,pass_to_pass_abs_improved,pass_to_pass_abs_worsened,pass_to_pass_sign_flip,transition_delta_contrast,transition_abs_delta_contrast,contrast_score
skew::signed_lane1_minus_lane0_dq_median__idelay_cntvaluein_skew__all__no_bit__ctrl_2__lane1_vs_lane0_dq__value_ps,skew,signed_lane1_minus_lane0_dq_median__idelay_cntvaluein_skew__all__no_bit__ctrl_2__lane1_vs_lane0_dq__value_ps,signed_lane1_minus_lane0_dq_median,idelay_cntvaluein_skew,all,,2,lane1_vs_lane0_dq,43,18,-95.0,95.0,6,12,2,10,156.5,-124.25,7,3,1,6,53.5,-44.0,3,3,1,9,43.5,-43.5,5,4,0,251.5,-219.25,361.125
sdf::lane_spread__idelayctrl__all__no_bit__ctrl_none__lane__value_ps,sdf,lane_spread__idelayctrl__all__no_bit__ctrl_none__lane__value_ps,lane_spread,idelayctrl,all,,,lane,43,18,-185.0,-185.0,13,5,0,10,-423.0,-423.0,10,0,0,6,-90.5,-90.5,5,1,0,9,-375.0,-375.0,6,3,0,-238.0,-238.0,357.0
sdf::direct_max__dq_iologic__lane0__dq2__ctrl_none__endpoint__value_ps,sdf,direct_max__dq_iologic__lane0__dq2__ctrl_none__endpoint__value_ps,direct_max,dq_iologic,lane0,dq2,,endpoint,43,18,3.5,3.5,9,9,0,10,-232.0,-232.0,6,4,0,6,1.5,1.5,3,3,0,9,104.0,104.0,4,5,0,-235.5,-235.5,353.25
sdf::direct_max__idelay_data_cntvaluein__lane1__dq14__ctrl_1__endpoint__value_ps,sdf,direct_max__idelay_data_cntvaluein__lane1__dq14__ctrl_1__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq14,1,endpoint,43,18,-243.0,-243.0,14,4,0,10,-8.0,-8.0,6,4,0,6,-165.0,-165.0,4,2,0,9,-554.0,-554.0,7,2,0,235.0,235.0,352.5
skew::ld_dq_lane_range__idelay_ld_skew__lane1__no_bit__ctrl_none__dq_lane__value_ps,skew,ld_dq_lane_range__idelay_ld_skew__lane1__no_bit__ctrl_none__dq_lane__value_ps,ld_dq_lane_range,idelay_ld_skew,lane1,,,dq_lane,43,18,-91.0,-91.0,11,7,0,10,144.0,144.0,2,8,0,6,-34.0,-34.0,3,3,0,9,159.0,159.0,2,7,0,235.0,235.0,352.5
sdf::direct_max__idelay_dqs_cntvaluein__lane0__dqs0__ctrl_2__endpoint__value_ps,sdf,direct_max__idelay_dqs_cntvaluein__lane0__dqs0__ctrl_2__endpoint__value_ps,direct_max,idelay_dqs_cntvaluein,lane0,dqs0,2,endpoint,43,18,-173.5,-173.5,10,8,0,10,59.5,59.5,5,5,0,6,-329.5,-329.5,3,3,0,9,-270.0,-270.0,6,3,0,233.0,233.0,349.5
skew::signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq15__ctrl_3__dqs_vs_dq_bit__value_ps,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq15__ctrl_3__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq15,3,dqs_vs_dq_bit,43,18,-129.0,-83.5,11,7,9,10,144.5,66.5,4,6,2,6,-157.5,-240.5,4,2,3,9,-176.0,-97.0,6,3,2,273.5,150.0,348.5
skew::signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq12__ctrl_3__dqs_vs_dq_bit__value_ps,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq12__ctrl_3__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq12,3,dqs_vs_dq_bit,43,18,-183.0,-35.0,9,9,7,10,132.0,29.0,5,5,4,6,-19.5,126.5,2,4,4,9,-194.0,-37.0,5,4,6,315.0,64.0,347.0
sdf::direct_max__idelay_data_cntvaluein__lane0__dq0__ctrl_4__endpoint__value_ps,sdf,direct_max__idelay_data_cntvaluein__lane0__dq0__ctrl_4__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq0,4,endpoint,43,18,-9.5,-9.5,9,9,0,10,220.5,220.5,4,6,0,6,-492.0,-492.0,4,2,0,9,-569.0,-569.0,8,1,0,230.0,230.0,345.0
sdf::direct_max__dqs_iologic__lane0__dqs0__ctrl_none__endpoint__value_ps,sdf,direct_max__dqs_iologic__lane0__dqs0__ctrl_none__endpoint__value_ps,direct_max,dqs_iologic,lane0,dqs0,,endpoint,43,18,-197.5,-197.5,9,8,0,10,27.5,27.5,5,5,0,6,-144.5,-144.5,4,2,0,9,-150.0,-150.0,6,3,0,225.0,225.0,337.5
sdf::lane_spread__dqs_iologic__lane0__no_bit__ctrl_none__lane__value_ps,sdf,lane_spread__dqs_iologic__lane0__no_bit__ctrl_none__lane__value_ps,lane_spread,dqs_iologic,lane0,,,lane,43,18,-197.5,-197.5,9,8,0,10,27.5,27.5,5,5,0,6,-144.5,-144.5,4,2,0,9,-150.0,-150.0,6,3,0,225.0,225.0,337.5
sdf::direct_max__idelay_data_cntvaluein__lane1__dq13__ctrl_0__endpoint__value_ps,sdf,direct_max__idelay_data_cntvaluein__lane1__dq13__ctrl_0__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq13,0,endpoint,43,18,-197.5,-197.5,13,5,0,10,27.0,27.0,5,5,0,6,-241.5,-241.5,5,1,0,9,-685.0,-685.0,8,1,0,224.5,224.5,336.75
skew::signed_dqs_minus_dq_median__idelay_cntvaluein_skew__lane1__dqs1__ctrl_3__dqs_vs_dq_lane__value_ps,skew,signed_dqs_minus_dq_median__idelay_cntvaluein_skew__lane1__dqs1__ctrl_3__dqs_vs_dq_lane__value_ps,signed_dqs_minus_dq_median,idelay_cntvaluein_skew,lane1,dqs1,3,dqs_vs_dq_lane,43,18,-154.0,25.0,9,9,6,10,158.75,67.5,4,6,3,6,-107.5,104.25,2,4,4,9,-114.5,22.5,3,6,6,312.75,42.5,334.0
skew::abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq3__ctrl_3__dqs_vs_dq_bit__value_ps,skew,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq3__ctrl_3__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq3,3,dqs_vs_dq_bit,43,18,-48.0,-48.0,12,6,0,10,-270.0,-270.0,6,4,0,6,-81.5,-81.5,4,2,0,9,100.0,100.0,4,5,0,-222.0,-222.0,333.0
