feature_key,feature_layer,feature,metric,family,lane,bit,control_bit,rule,threshold_delta,balanced_accuracy,errors,tp_pass_to_fail,tn_fail_to_pass,false_pass_to_fail,false_fail_to_pass,samples
skew::signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq1__ctrl_2__dqs_vs_dq_bit__value_ps,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq1__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq1,2,ge_pass_to_fail,-23.5,0.7,10,9,9,9,1,28
sdf::direct_max__dq_iologic__lane0__dq2__ctrl_none__endpoint__value_ps,sdf,direct_max__dq_iologic__lane0__dq2__ctrl_none__endpoint__value_ps,direct_max,dq_iologic,lane0,dq2,,le_pass_to_fail,-190.5,0.688889,8,6,14,4,4,28
sdf::direct_max__idelay_data_cntvaluein__lane1__dq10__ctrl_0__endpoint__value_ps,sdf,direct_max__idelay_data_cntvaluein__lane1__dq10__ctrl_0__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq10,0,ge_pass_to_fail,66.5,0.688889,8,6,14,4,4,28
sdf::direct_max__idelay_data_cntvaluein__lane1__dq14__ctrl_1__endpoint__value_ps,sdf,direct_max__idelay_data_cntvaluein__lane1__dq14__ctrl_1__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq14,1,ge_pass_to_fail,-14.5,0.688889,8,6,14,4,4,28
skew::abs_idelayctrl_minus_reset_release__startup_relative_skew__all__no_bit__ctrl_none__idelayctrl_vs_reset__value_ps,skew,abs_idelayctrl_minus_reset_release__startup_relative_skew__all__no_bit__ctrl_none__idelayctrl_vs_reset__value_ps,abs_idelayctrl_minus_reset_release,startup_relative_skew,all,,,le_pass_to_fail,-460.5,0.688889,8,6,14,4,4,28
skew::signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq5__ctrl_0__dqs_vs_dq_bit__value_ps,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq5__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq5,0,le_pass_to_fail,-85.0,0.688889,8,6,14,4,4,28
skew::signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq6__ctrl_0__dqs_vs_dq_bit__value_ps,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq6__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq6,0,le_pass_to_fail,-154.5,0.688889,8,6,14,4,4,28
skew::signed_idelayctrl_minus_reset_release__startup_relative_skew__all__no_bit__ctrl_none__idelayctrl_vs_reset__value_ps,skew,signed_idelayctrl_minus_reset_release__startup_relative_skew__all__no_bit__ctrl_none__idelayctrl_vs_reset__value_ps,signed_idelayctrl_minus_reset_release,startup_relative_skew,all,,,le_pass_to_fail,-460.5,0.688889,8,6,14,4,4,28
sdf::direct_max__idelay_data_cntvaluein__lane1__dq12__ctrl_0__endpoint__value_ps,sdf,direct_max__idelay_data_cntvaluein__lane1__dq12__ctrl_0__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq12,0,ge_pass_to_fail,-214.0,0.683333,9,7,12,6,3,28
sdf::direct_max__idelay_data_cntvaluein__lane1__dq14__ctrl_0__endpoint__value_ps,sdf,direct_max__idelay_data_cntvaluein__lane1__dq14__ctrl_0__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq14,0,ge_pass_to_fail,-191.5,0.683333,9,7,12,6,3,28
