sample,status,metric,family,lane,bit,control_bit,scope,count,min_ps,median_ps,p95_ps,max_ps,spread_ps,value_ps
exact-abort-seed3-idelay-control-full-locked,fail,control_fanout_spread,idelay_dqs_cntvaluein,lane1,,3,lane_control_bit,1,1368.0,1368.0,1368.0,1368.0,0.0,0.0
exact-abort-seed3-idelay-control-locked,pass,control_fanout_spread,idelay_dqs_cntvaluein,lane1,,3,lane_control_bit,1,1598.0,1598.0,1598.0,1598.0,0.0,0.0
exact-abort-seed3-baseline,pass,control_fanout_spread,idelay_dqs_cntvaluein,lane1,,4,lane_control_bit,1,1078.0,1078.0,1078.0,1078.0,0.0,0.0
exact-abort-seed3-idelay-control-full-locked,fail,control_fanout_spread,idelay_dqs_cntvaluein,lane1,,4,lane_control_bit,1,1819.0,1819.0,1819.0,1819.0,0.0,0.0
exact-abort-seed3-idelay-control-locked,pass,control_fanout_spread,idelay_dqs_cntvaluein,lane1,,4,lane_control_bit,1,1532.0,1532.0,1532.0,1532.0,0.0,0.0
exact-abort-seed3-baseline,pass,direct_max,clocking,all,,,endpoint,2058,119.0,1110.0,1179.0,6105.0,5986.0,6105.0
exact-abort-seed3-idelay-control-full-locked,fail,direct_max,clocking,all,,,endpoint,2058,119.0,1110.0,1179.0,6974.0,6855.0,6974.0
exact-abort-seed3-idelay-control-locked,pass,direct_max,clocking,all,,,endpoint,2059,119.0,1110.0,1179.0,6914.0,6795.0,6914.0
exact-abort-seed3-baseline,pass,direct_max,clocking,lane0,dq0,,endpoint,6,1179.0,1279.0,1314.0,1314.0,135.0,1314.0
exact-abort-seed3-idelay-control-full-locked,fail,direct_max,clocking,lane0,dq0,,endpoint,6,1179.0,1279.0,1314.0,1314.0,135.0,1314.0
exact-abort-seed3-idelay-control-locked,pass,direct_max,clocking,lane0,dq0,,endpoint,6,1179.0,1279.0,1314.0,1314.0,135.0,1314.0
exact-abort-seed3-baseline,pass,direct_max,clocking,lane0,dq1,,endpoint,6,1179.0,1279.0,1314.0,1314.0,135.0,1314.0
exact-abort-seed3-idelay-control-full-locked,fail,direct_max,clocking,lane0,dq1,,endpoint,6,1179.0,1279.0,1314.0,1314.0,135.0,1314.0
exact-abort-seed3-idelay-control-locked,pass,direct_max,clocking,lane0,dq1,,endpoint,6,1179.0,1279.0,1314.0,1314.0,135.0,1314.0
exact-abort-seed3-baseline,pass,direct_max,clocking,lane0,dq2,,endpoint,6,1179.0,1279.0,1314.0,1314.0,135.0,1314.0
exact-abort-seed3-idelay-control-full-locked,fail,direct_max,clocking,lane0,dq2,,endpoint,6,1179.0,1279.0,1314.0,1314.0,135.0,1314.0
exact-abort-seed3-idelay-control-locked,pass,direct_max,clocking,lane0,dq2,,endpoint,6,1179.0,1279.0,1314.0,1314.0,135.0,1314.0
exact-abort-seed3-baseline,pass,direct_max,clocking,lane0,dq3,,endpoint,6,1179.0,1279.0,1314.0,1314.0,135.0,1314.0
exact-abort-seed3-idelay-control-full-locked,fail,direct_max,clocking,lane0,dq3,,endpoint,6,1179.0,1279.0,1314.0,1314.0,135.0,1314.0
exact-abort-seed3-idelay-control-locked,pass,direct_max,clocking,lane0,dq3,,endpoint,6,1179.0,1279.0,1314.0,1314.0,135.0,1314.0
exact-abort-seed3-baseline,pass,direct_max,clocking,lane0,dq4,,endpoint,6,1179.0,1279.0,1314.0,1314.0,135.0,1314.0
exact-abort-seed3-idelay-control-full-locked,fail,direct_max,clocking,lane0,dq4,,endpoint,6,1179.0,1279.0,1314.0,1314.0,135.0,1314.0
exact-abort-seed3-idelay-control-locked,pass,direct_max,clocking,lane0,dq4,,endpoint,6,1179.0,1279.0,1314.0,1314.0,135.0,1314.0
exact-abort-seed3-baseline,pass,direct_max,clocking,lane0,dq5,,endpoint,6,1179.0,1279.0,1314.0,1314.0,135.0,1314.0
exact-abort-seed3-idelay-control-full-locked,fail,direct_max,clocking,lane0,dq5,,endpoint,6,1179.0,1279.0,1314.0,1314.0,135.0,1314.0
exact-abort-seed3-idelay-control-locked,pass,direct_max,clocking,lane0,dq5,,endpoint,6,1179.0,1279.0,1314.0,1314.0,135.0,1314.0
exact-abort-seed3-baseline,pass,direct_max,clocking,lane0,dq6,,endpoint,6,1179.0,1279.0,1314.0,1314.0,135.0,1314.0
exact-abort-seed3-idelay-control-full-locked,fail,direct_max,clocking,lane0,dq6,,endpoint,6,1179.0,1279.0,1314.0,1314.0,135.0,1314.0
exact-abort-seed3-idelay-control-locked,pass,direct_max,clocking,lane0,dq6,,endpoint,6,1179.0,1279.0,1314.0,1314.0,135.0,1314.0
exact-abort-seed3-baseline,pass,direct_max,clocking,lane0,dq7,,endpoint,6,1179.0,1279.0,1314.0,1314.0,135.0,1314.0
exact-abort-seed3-idelay-control-full-locked,fail,direct_max,clocking,lane0,dq7,,endpoint,6,1179.0,1279.0,1314.0,1314.0,135.0,1314.0
exact-abort-seed3-idelay-control-locked,pass,direct_max,clocking,lane0,dq7,,endpoint,6,1179.0,1279.0,1314.0,1314.0,135.0,1314.0
exact-abort-seed3-baseline,pass,direct_max,clocking,lane0,dqs0,,endpoint,5,1179.0,1279.0,1279.0,1279.0,100.0,1279.0
exact-abort-seed3-idelay-control-full-locked,fail,direct_max,clocking,lane0,dqs0,,endpoint,5,1179.0,1279.0,1279.0,1279.0,100.0,1279.0
exact-abort-seed3-idelay-control-locked,pass,direct_max,clocking,lane0,dqs0,,endpoint,5,1179.0,1279.0,1279.0,1279.0,100.0,1279.0
exact-abort-seed3-baseline,pass,direct_max,clocking,lane1,dq10,,endpoint,6,1179.0,1279.0,1314.0,1314.0,135.0,1314.0
exact-abort-seed3-idelay-control-full-locked,fail,direct_max,clocking,lane1,dq10,,endpoint,6,1179.0,1279.0,1314.0,1314.0,135.0,1314.0
exact-abort-seed3-idelay-control-locked,pass,direct_max,clocking,lane1,dq10,,endpoint,6,1179.0,1279.0,1314.0,1314.0,135.0,1314.0
exact-abort-seed3-baseline,pass,direct_max,clocking,lane1,dq11,,endpoint,6,1179.0,1279.0,1314.0,1314.0,135.0,1314.0
exact-abort-seed3-idelay-control-full-locked,fail,direct_max,clocking,lane1,dq11,,endpoint,6,1179.0,1279.0,1314.0,1314.0,135.0,1314.0
exact-abort-seed3-idelay-control-locked,pass,direct_max,clocking,lane1,dq11,,endpoint,6,1179.0,1279.0,1314.0,1314.0,135.0,1314.0
exact-abort-seed3-baseline,pass,direct_max,clocking,lane1,dq12,,endpoint,6,1179.0,1279.0,1314.0,1314.0,135.0,1314.0
exact-abort-seed3-idelay-control-full-locked,fail,direct_max,clocking,lane1,dq12,,endpoint,6,1179.0,1279.0,1314.0,1314.0,135.0,1314.0
exact-abort-seed3-idelay-control-locked,pass,direct_max,clocking,lane1,dq12,,endpoint,6,1179.0,1279.0,1314.0,1314.0,135.0,1314.0
exact-abort-seed3-baseline,pass,direct_max,clocking,lane1,dq13,,endpoint,6,1179.0,1279.0,1314.0,1314.0,135.0,1314.0
