comparison,feature_layer,feature,metric,family,lane,bit,control_bit,scope,n_pass,n_fail,pass_min_ps,pass_median_ps,pass_max_ps,fail_min_ps,fail_median_ps,fail_max_ps,fail_minus_pass_median_ps,auc_fail_higher,auc_best_direction,auc_best,cliffs_delta_fail_higher,strict_separation,strict_margin_ps,support_score
baseline_abort2_vs_pass,direct,lane_spread__idelay_dqs_cntvaluein__lane0__no_bit__ctrl_none__lane__value_ps,lane_spread,idelay_dqs_cntvaluein,lane0,,,lane,36,19,220.0,574.0,1188.0,147.0,846.0,1581.0,272.0,0.635234,fail_higher,0.635234,0.270468,overlap,0.0,3.536826
baseline_abort2_vs_pass,direct,cntvaluein_bus_skew__idelay_data_cntvaluein__lane1__dq11__ctrl_none__dq11__value_ps,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq11,,dq11,36,19,219.0,456.0,864.0,212.0,357.0,701.0,-99.0,0.365497,fail_lower,0.634503,-0.269006,overlap,0.0,3.517708
baseline_abort2_vs_pass,direct,cntvaluein_bus_skew__idelay_data_cntvaluein__lane0__dq0__ctrl_none__dq0__value_ps,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,36,19,388.0,667.0,1219.0,77.0,557.0,850.0,-110.0,0.366228,fail_lower,0.633772,-0.267544,overlap,0.0,3.49859
baseline_abort2_vs_pass,skew,abs_ld_minus_cntvaluein_dqs__idelay_ld_cntvaluein_skew__lane1__dqs1__ctrl_3__ld_vs_cntvaluein_dqs__value_ps,abs_ld_minus_cntvaluein_dqs,idelay_ld_cntvaluein_skew,lane1,dqs1,3,ld_vs_cntvaluein_dqs,36,19,2.0,176.0,1344.0,38.0,238.0,846.0,62.0,0.63231,fail_higher,0.63231,0.26462,overlap,0.0,3.460354
baseline_abort2_vs_pass,direct,direct_max__idelay_data_cntvaluein__lane1__dq9__ctrl_4__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq9,4,endpoint,36,19,827.0,1217.5,1973.0,633.0,1358.0,1662.0,140.5,0.627924,fail_higher,0.627924,0.255848,overlap,0.0,3.345646
baseline_abort2_vs_pass,direct,cntvaluein_bus_skew__idelay_data_cntvaluein__lane1__dq12__ctrl_none__dq12__value_ps,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq12,,dq12,36,19,186.0,525.0,1116.0,174.0,429.0,774.0,-96.0,0.372076,fail_lower,0.627924,-0.255848,overlap,0.0,3.345646
baseline_abort2_vs_pass,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq11__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq11,2,dqs_vs_dq_bit,36,19,-920.0,-87.0,740.0,-464.0,131.0,717.0,218.0,0.625731,fail_higher,0.625731,0.251462,overlap,0.0,3.288292
baseline_abort2_vs_pass,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq5__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq5,0,dqs_vs_dq_bit,36,19,-750.0,86.5,1059.0,-437.0,-94.0,1021.0,-180.5,0.374269,fail_lower,0.625731,-0.251462,overlap,0.0,3.288292
baseline_abort2_vs_pass,skew,ld_dq_lane_range__idelay_ld_skew__lane1__no_bit__ctrl_none__dq_lane__value_ps,ld_dq_lane_range,idelay_ld_skew,lane1,,,dq_lane,36,19,146.0,338.0,706.0,240.0,383.0,732.0,45.0,0.625,fail_higher,0.625,0.25,overlap,0.0,3.269174
baseline_abort2_vs_pass,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq7__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq7,2,dqs_vs_dq_bit,36,19,-1056.0,-266.5,655.0,-861.0,-23.0,863.0,243.5,0.621345,fail_higher,0.621345,0.24269,overlap,0.0,3.173584
