comparison,feature_layer,feature,metric,family,lane,bit,control_bit,scope,n_pass,n_fail,pass_min_ps,pass_median_ps,pass_max_ps,fail_min_ps,fail_median_ps,fail_max_ps,fail_minus_pass_median_ps,auc_fail_higher,auc_best_direction,auc_best,cliffs_delta_fail_higher,strict_separation,strict_margin_ps,support_score
baseline_seed_1_30,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq1__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq1,0,dqs_vs_dq_bit,22,8,-910.0,-169.5,960.0,-163.0,-45.0,871.0,124.5,0.704545,fail_higher,0.704545,0.409091,overlap,0.0,2.713602
baseline_seed_1_30,skew,signed_lane1_minus_lane0_dq_median__idelay_cntvaluein_skew__all__no_bit__ctrl_1__lane1_vs_lane0_dq__value_ps,signed_lane1_minus_lane0_dq_median,idelay_cntvaluein_skew,all,,1,lane1_vs_lane0_dq,22,8,-889.5,-353.75,8.5,-447.5,-257.5,-98.5,96.25,0.704545,fail_higher,0.704545,0.409091,overlap,0.0,2.713602
baseline_seed_1_30,skew,abs_lane1_minus_lane0_dq_median__idelay_cntvaluein_skew__all__no_bit__ctrl_1__lane1_vs_lane0_dq__value_ps,abs_lane1_minus_lane0_dq_median,idelay_cntvaluein_skew,all,,1,lane1_vs_lane0_dq,22,8,8.5,353.75,889.5,98.5,257.5,447.5,-96.25,0.295455,fail_lower,0.704545,-0.409091,overlap,0.0,2.713602
baseline_seed_1_30,skew,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq10__ctrl_3__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq10,3,dqs_vs_dq_bit,22,8,12.0,183.5,633.0,54.0,271.5,880.0,88.0,0.698864,fail_higher,0.698864,0.397727,overlap,0.0,2.638224
baseline_seed_1_30,skew,signed_lane1_minus_lane0_dq_median__idelay_cntvaluein_skew__all__no_bit__ctrl_0__lane1_vs_lane0_dq__value_ps,signed_lane1_minus_lane0_dq_median,idelay_cntvaluein_skew,all,,0,lane1_vs_lane0_dq,22,8,-556.0,-272.5,-145.5,-426.0,-204.0,-65.5,68.5,0.698864,fail_higher,0.698864,0.397727,overlap,0.0,2.638224
baseline_seed_1_30,skew,abs_lane1_minus_lane0_dq_median__idelay_cntvaluein_skew__all__no_bit__ctrl_0__lane1_vs_lane0_dq__value_ps,abs_lane1_minus_lane0_dq_median,idelay_cntvaluein_skew,all,,0,lane1_vs_lane0_dq,22,8,145.5,272.5,556.0,65.5,204.0,426.0,-68.5,0.301136,fail_lower,0.698864,-0.397727,overlap,0.0,2.638224
baseline_seed_1_30,skew,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq3__ctrl_2__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq3,2,dqs_vs_dq_bit,22,8,8.0,235.0,696.0,174.0,271.5,879.0,36.5,0.698864,fail_higher,0.698864,0.397727,overlap,0.0,2.638224
baseline_seed_1_30,skew,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq1__ctrl_1__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq1,1,dqs_vs_dq_bit,22,8,10.0,326.0,1118.0,3.0,124.5,587.0,-201.5,0.303977,fail_lower,0.696023,-0.392045,overlap,0.0,2.600535
baseline_seed_1_30,skew,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq8__ctrl_3__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq8,3,dqs_vs_dq_bit,22,8,25.0,183.0,901.0,26.0,332.0,615.0,149.0,0.696023,fail_higher,0.696023,0.392045,overlap,0.0,2.600535
baseline_seed_1_30,skew,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq4__ctrl_3__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq4,3,dqs_vs_dq_bit,22,8,3.0,268.0,728.0,51.0,428.5,884.0,160.5,0.693182,fail_higher,0.693182,0.386364,overlap,0.0,2.562846
