comparison,feature_layer,feature,metric,family,lane,bit,control_bit,scope,n_pass,n_fail,pass_min_ps,pass_median_ps,pass_max_ps,fail_min_ps,fail_median_ps,fail_max_ps,fail_minus_pass_median_ps,auc_fail_higher,auc_best_direction,auc_best,cliffs_delta_fail_higher,strict_separation,strict_margin_ps,support_score
baseline_all,direct,direct_max__idelay_data_cntvaluein__lane1__dq10__ctrl_0__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq10,0,endpoint,36,24,970.0,1378.5,1819.0,851.0,1492.0,1957.0,113.5,0.615162,fail_higher,0.615162,0.230324,overlap,0.0,3.385059
baseline_all,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq13__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq13,2,dqs_vs_dq_bit,36,24,-1004.0,-65.5,1008.0,-541.0,123.5,712.0,189.0,0.613426,fail_higher,0.613426,0.226852,overlap,0.0,3.334028
baseline_all,direct,lane_spread__idelay_data_cntvaluein__lane0__no_bit__ctrl_none__lane__value_ps,lane_spread,idelay_data_cntvaluein,lane0,,,lane,36,24,585.0,1001.5,1739.0,457.0,920.5,1325.0,-81.0,0.386574,fail_lower,0.613426,-0.226852,overlap,0.0,3.334028
baseline_all,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq10__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq10,0,dqs_vs_dq_bit,36,24,-727.0,-50.5,615.0,-820.0,-202.5,911.0,-152.0,0.387153,fail_lower,0.612847,-0.225694,overlap,0.0,3.317017
baseline_all,direct,direct_max__dq_iologic__lane0__dq7__ctrl_none__endpoint__value_ps,direct_max,dq_iologic,lane0,dq7,,endpoint,36,24,1695.0,2384.0,3805.0,1952.0,2595.0,3694.0,211.0,0.612269,fail_higher,0.612269,0.224537,overlap,0.0,3.300007
baseline_all,skew,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq9__ctrl_0__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq9,0,dqs_vs_dq_bit,36,24,21.0,225.5,746.0,20.0,151.5,1018.0,-74.0,0.388889,fail_lower,0.611111,-0.222222,overlap,0.0,3.265986
baseline_all,direct,direct_max__idelay_data_cntvaluein__lane0__dq7__ctrl_0__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq7,0,endpoint,36,24,1271.0,1627.5,2265.0,1177.0,1744.5,2500.0,117.0,0.609954,fail_higher,0.609954,0.219907,overlap,0.0,3.231966
baseline_all,direct,direct_max__idelay_data_cntvaluein__lane1__dq13__ctrl_0__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq13,0,endpoint,36,24,912.0,1353.0,1899.0,875.0,1440.0,1832.0,87.0,0.609375,fail_higher,0.609375,0.21875,overlap,0.0,3.214955
baseline_all,skew,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq12__ctrl_3__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq12,3,dqs_vs_dq_bit,36,24,34.0,167.5,920.0,10.0,268.5,876.0,101.0,0.608796,fail_higher,0.608796,0.217593,overlap,0.0,3.197945
baseline_all,skew,ld_dq_lane_range__idelay_ld_skew__lane1__no_bit__ctrl_none__dq_lane__value_ps,ld_dq_lane_range,idelay_ld_skew,lane1,,,dq_lane,36,24,146.0,338.0,706.0,240.0,359.5,732.0,21.5,0.60706,fail_higher,0.60706,0.21412,overlap,0.0,3.146914
