feature,metric,family,lane,bit,control_bit,scope,n_total,sign_flip_total,abs_improved_total,abs_worsened_total,fail_to_pass_n,fail_to_pass_median_delta_ps,fail_to_pass_median_delta_abs_ps,fail_to_pass_sign_flip_count,fail_to_pass_abs_improved_count,fail_to_pass_abs_worsened_count,fail_to_fail_n,fail_to_fail_median_delta_ps,fail_to_fail_median_delta_abs_ps,fail_to_fail_sign_flip_count,fail_to_fail_abs_improved_count,fail_to_fail_abs_worsened_count,pass_to_fail_n,pass_to_fail_median_delta_ps,pass_to_fail_median_delta_abs_ps,pass_to_fail_sign_flip_count,pass_to_fail_abs_improved_count,pass_to_fail_abs_worsened_count,pass_to_pass_n,pass_to_pass_median_delta_ps,pass_to_pass_median_delta_abs_ps,pass_to_pass_sign_flip_count,pass_to_pass_abs_improved_count,pass_to_pass_abs_worsened_count,passfail_minus_failpass_median_delta_ps,passfail_minus_failpass_sign_flip_rate,contrast_score
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq8__ctrl_1__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq8,1,dqs_vs_dq_bit,13,9,5,8,5,476,256,3,1,4,3,38,-31,1,2,1,2,636.5,283.5,2,1,1,3,618,424,3,1,2,160.5,0.4,200.5
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq8__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq8,0,dqs_vs_dq_bit,13,7,6,7,5,207,-183,2,3,2,3,-488,144,1,1,2,2,344,-56,2,1,1,3,1172,116,2,1,2,137,0.6,197
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq12__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq12,0,dqs_vs_dq_bit,13,9,5,8,5,196,-85,2,3,2,3,-390,-63,2,2,1,2,326.5,89.5,2,0,2,3,1179,205,3,0,3,130.5,0.6,190.5
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq10__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq10,2,dqs_vs_dq_bit,13,7,6,7,5,464,288,3,1,4,3,253,-253,1,3,0,2,317.5,-68.5,2,1,1,3,672,55,1,1,2,-146.5,0.4,186.5
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq0__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq0,0,dqs_vs_dq_bit,13,11,6,7,5,212,272,4,2,3,3,173,89,2,1,2,2,375.5,-121.5,2,2,0,3,609,166,3,1,2,163.5,0.2,183.5
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq7__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq7,0,dqs_vs_dq_bit,13,9,8,5,5,207,-203,4,3,2,3,-27,-27,1,2,1,2,359,-199,1,1,1,3,608,-66,3,2,1,152,-0.3,182
signed_ld_minus_cntvaluein_dqs__idelay_ld_cntvaluein_skew__lane1__dqs1__ctrl_2__ld_vs_cntvaluein_dqs__value_ps,signed_ld_minus_cntvaluein_dqs,idelay_ld_cntvaluein_skew,lane1,dqs1,2,ld_vs_cntvaluein_dqs,13,5,10,3,5,-134,-134,3,4,1,3,245,-174,1,2,1,2,-14.5,-14.5,0,1,1,3,-324,-294,1,3,0,119.5,-0.6,179.5
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq4__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq4,2,dqs_vs_dq_bit,13,8,6,7,5,497,14,4,2,3,3,293,-293,1,2,1,2,348.5,-13.5,2,1,1,3,534,213,1,1,2,-148.5,0.2,168.5
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq2__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq2,2,dqs_vs_dq_bit,13,7,6,7,5,562,-144,3,3,2,3,225,-225,1,2,1,2,444,156,2,0,2,3,397,293,1,1,2,-118,0.4,158
signed_dqs_bus_skew_minus_dq_median__idelay_cntvaluein_skew__lane1__dqs1__ctrl_none__dqs_vs_dq_bus_skew__value_ps,signed_dqs_bus_skew_minus_dq_median,idelay_cntvaluein_skew,lane1,dqs1,,dqs_vs_dq_bus_skew,13,8,4,9,5,-231,15,4,2,3,3,-503,278.5,2,0,3,2,-103,-16.5,2,1,1,3,-505,505,0,1,2,128,0.2,148
