feature,metric,family,lane,bit,control_bit,scope,n_total,sign_flip_total,abs_improved_total,abs_worsened_total,fail_to_pass_n,fail_to_pass_median_delta_ps,fail_to_pass_median_delta_abs_ps,fail_to_pass_sign_flip_count,fail_to_pass_abs_improved_count,fail_to_pass_abs_worsened_count,fail_to_fail_n,fail_to_fail_median_delta_ps,fail_to_fail_median_delta_abs_ps,fail_to_fail_sign_flip_count,fail_to_fail_abs_improved_count,fail_to_fail_abs_worsened_count,pass_to_fail_n,pass_to_fail_median_delta_ps,pass_to_fail_median_delta_abs_ps,pass_to_fail_sign_flip_count,pass_to_fail_abs_improved_count,pass_to_fail_abs_worsened_count,pass_to_pass_n,pass_to_pass_median_delta_ps,pass_to_pass_median_delta_abs_ps,pass_to_pass_sign_flip_count,pass_to_pass_abs_improved_count,pass_to_pass_abs_worsened_count,passfail_minus_failpass_median_delta_ps,passfail_minus_failpass_sign_flip_rate,contrast_score
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq8__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq8,0,dqs_vs_dq_bit,30,12,20,10,13,78,-56,3,9,4,3,108,-108,1,2,1,8,-391,-32,4,5,3,6,181.5,-76.5,4,4,2,-469,0.269231,495.9231
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq6__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq6,2,dqs_vs_dq_bit,30,11,16,14,13,-132,298,5,4,9,3,-475,51,2,1,2,8,323.5,-106.5,2,6,2,6,19.5,-235.5,2,5,1,455.5,-0.134615,468.9615
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq1__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq1,0,dqs_vs_dq_bit,30,11,19,11,13,136,-136,5,10,3,3,132,-132,0,2,1,8,-321.5,-68,3,5,3,6,222.5,123,3,2,4,-457.5,-0.009615,458.4615
signed_ld_minus_cntvaluein_dqs__idelay_ld_cntvaluein_skew__lane0__dqs0__ctrl_1__ld_vs_cntvaluein_dqs__value_ps,signed_ld_minus_cntvaluein_dqs,idelay_ld_cntvaluein_skew,lane0,dqs0,1,ld_vs_cntvaluein_dqs,30,19,18,12,13,-71,-157,6,9,4,3,357,77,2,1,2,8,-461,-32.5,6,4,4,6,-292.5,-42,5,4,2,-390,0.288462,418.8462
signed_dqs_bus_skew_minus_dq_median__idelay_cntvaluein_skew__lane0__dqs0__ctrl_none__dqs_vs_dq_bus_skew__value_ps,signed_dqs_bus_skew_minus_dq_median,idelay_cntvaluein_skew,lane0,dqs0,,dqs_vs_dq_bus_skew,30,13,18,12,13,-287.5,-68.5,7,8,5,3,258.5,277,1,0,3,8,83,-88.5,3,7,1,6,-529.75,133,2,3,3,370.5,-0.163462,386.8462
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq15__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq15,0,dqs_vs_dq_bit,30,18,13,16,13,243,138,8,5,8,3,133,5,2,0,2,8,-118,-69.5,3,5,3,6,86.5,-17,5,3,3,-361,-0.240385,385.0385
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq3__ctrl_3__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq3,3,dqs_vs_dq_bit,30,8,19,11,13,-57,-145,3,9,4,3,468,124,2,1,2,8,326,-427,2,6,2,6,-78,48.5,1,3,3,383,0.019231,384.9231
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq14__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq14,2,dqs_vs_dq_bit,30,13,12,18,13,116,157,6,5,8,3,9,-294,2,2,1,8,-237.5,210.5,3,3,5,6,81,79,2,2,4,-353.5,-0.086538,362.1538
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq9__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq9,2,dqs_vs_dq_bit,30,15,17,13,13,167,-113,8,9,4,3,-156,-18,2,2,1,8,-170.5,-17,4,4,4,6,125,125,1,2,4,-337.5,-0.115385,349.0385
signed_ld_minus_cntvaluein_dqs__idelay_ld_cntvaluein_skew__lane1__dqs1__ctrl_1__ld_vs_cntvaluein_dqs__value_ps,signed_ld_minus_cntvaluein_dqs,idelay_ld_cntvaluein_skew,lane1,dqs1,1,ld_vs_cntvaluein_dqs,30,19,12,18,13,-54,139,9,4,9,3,-209,170,2,0,3,8,-392.5,-20.5,5,4,4,6,-201.5,-52.5,3,4,2,-338.5,-0.067308,345.2308
signed_ld_minus_cntvaluein_dq_median__idelay_ld_cntvaluein_skew__lane1__no_bit__ctrl_2__ld_vs_cntvaluein_dq_lane__value_ps,signed_ld_minus_cntvaluein_dq_median,idelay_ld_cntvaluein_skew,lane1,,2,ld_vs_cntvaluein_dq_lane,30,17,9,21,13,-142,36,10,5,8,3,87.5,87.5,0,1,2,8,174.25,172.75,4,2,6,6,375.25,350.25,3,1,5,316.25,-0.269231,343.1731
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq6__ctrl_1__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq6,1,dqs_vs_dq_bit,30,17,19,11,13,113,-113,6,10,3,3,-457,104,2,0,3,8,432.5,-356.5,5,6,2,6,614,-160.5,4,3,3,319.5,0.163462,335.8462
signed_ld_minus_cntvaluein_dqs__idelay_ld_cntvaluein_skew__lane0__dqs0__ctrl_0__ld_vs_cntvaluein_dqs__value_ps,signed_ld_minus_cntvaluein_dqs,idelay_ld_cntvaluein_skew,lane0,dqs0,0,ld_vs_cntvaluein_dqs,30,14,16,14,13,-300,-100,5,7,6,3,52,52,1,1,2,8,7.5,28.5,5,3,5,6,174.5,-174.5,3,5,1,307.5,0.240385,331.5385
signed_ld_minus_cntvaluein_dq_median__idelay_ld_cntvaluein_skew__lane0__no_bit__ctrl_0__ld_vs_cntvaluein_dq_lane__value_ps,signed_ld_minus_cntvaluein_dq_median,idelay_ld_cntvaluein_skew,lane0,,0,ld_vs_cntvaluein_dq_lane,30,16,13,17,13,191,43.5,6,6,7,3,373.5,-57.5,3,2,1,8,-130.75,153.75,4,3,5,6,302,34.25,3,2,4,-321.75,0.038462,325.5962
