feature_a,feature_b,n_pass,n_fail,auc_pair_score_fail_higher,auc_best,fail_minus_pass_median_score
control_fanout_spread__idelay_data_cntvaluein__lane1__no_bit__ctrl_0__lane_control_bit__value_ps,direct_max__idelay_dqs_cntvaluein__lane1__dqs1__ctrl_2__endpoint__value_ps,6,5,0.9,0.9,780.5
direct_max__dq_iologic__lane0__dq2__ctrl_none__endpoint__value_ps,direct_max__idelay_data_cntvaluein__lane1__dq9__ctrl_1__endpoint__value_ps,6,5,0.9,0.9,761.5
direct_max__dq_iologic__lane0__dq2__ctrl_none__endpoint__value_ps,direct_max__idelay_ld__lane0__dq6__ctrl_none__endpoint__value_ps,6,5,0.9,0.9,750.5
direct_max__dq_iologic__lane0__dq1__ctrl_none__endpoint__value_ps,direct_max__idelay_data_cntvaluein__lane1__dq9__ctrl_1__endpoint__value_ps,6,5,0.9,0.9,688.5
direct_max__idelay_dqs_cntvaluein__lane1__dqs1__ctrl_2__endpoint__value_ps,direct_max__dq_iologic__lane0__dq3__ctrl_none__endpoint__value_ps,6,5,0.9,0.9,638.5
direct_max__idelay_data_cntvaluein__lane1__dq15__ctrl_1__endpoint__value_ps,direct_max__dq_iologic__lane0__dq2__ctrl_none__endpoint__value_ps,6,5,0.9,0.9,626.5
direct_max__dq_iologic__lane0__dq2__ctrl_none__endpoint__value_ps,direct_max__idelay_ld__lane0__dq0__ctrl_none__endpoint__value_ps,6,5,0.9,0.9,604.0
direct_max__idelay_dqs_cntvaluein__lane0__dqs0__ctrl_2__endpoint__value_ps,direct_max__dq_iologic__lane0__dq3__ctrl_none__endpoint__value_ps,6,5,0.9,0.9,603.0
direct_max__dq_iologic__lane0__dq0__ctrl_none__endpoint__value_ps,direct_max__idelay_dqs_cntvaluein__lane0__dqs0__ctrl_1__endpoint__value_ps,6,5,0.9,0.9,580.5
direct_max__idelay_ld__lane0__dq6__ctrl_none__endpoint__value_ps,direct_max__dq_iologic__lane0__dq4__ctrl_none__endpoint__value_ps,6,5,0.9,0.9,507.0
control_fanout_spread__idelay_data_cntvaluein__lane1__no_bit__ctrl_0__lane_control_bit__value_ps,direct_max__dq_iologic__lane0__dq0__ctrl_none__endpoint__value_ps,6,5,0.9,0.9,506.5
direct_max__dq_iologic__lane0__dq2__ctrl_none__endpoint__value_ps,direct_max__idelay_dqs_cntvaluein__lane0__dqs0__ctrl_1__endpoint__value_ps,6,5,0.9,0.9,502.0
direct_max__dq_iologic__lane0__dq5__ctrl_none__endpoint__value_ps,control_fanout_spread__idelay_data_cntvaluein__lane0__no_bit__ctrl_2__lane_control_bit__value_ps,6,5,0.9,0.9,497.0
lane_spread__dq_iologic__lane0__no_bit__ctrl_none__lane__value_ps,direct_max__idelay_ld__lane0__dq6__ctrl_none__endpoint__value_ps,6,5,0.9,0.9,496.0
direct_max__dq_iologic__lane1__dq11__ctrl_none__endpoint__value_ps,direct_max__dq_iologic__lane0__dq4__ctrl_none__endpoint__value_ps,6,5,0.9,0.9,478.0
control_fanout_spread__idelay_data_cntvaluein__lane1__no_bit__ctrl_0__lane_control_bit__value_ps,direct_max__idelay_ld__lane0__dq6__ctrl_none__endpoint__value_ps,6,5,0.9,0.9,419.5
direct_max__idelay_data_cntvaluein__lane1__dq15__ctrl_1__endpoint__value_ps,direct_max__idelay_data_cntvaluein__lane1__dq14__ctrl_0__endpoint__value_ps,6,5,0.9,0.9,410.5
direct_max__idelay_data_cntvaluein__lane1__dq15__ctrl_1__endpoint__value_ps,direct_max__dq_iologic__lane0__dq4__ctrl_none__endpoint__value_ps,6,5,0.9,0.9,386.0
direct_max__dq_iologic__lane0__dq5__ctrl_none__endpoint__value_ps,direct_max__idelay_data_cntvaluein__lane1__dq14__ctrl_0__endpoint__value_ps,6,5,0.9,0.9,357.5
direct_max__idelay_data_cntvaluein__lane1__dq15__ctrl_1__endpoint__value_ps,direct_max__dq_iologic__lane0__dq3__ctrl_none__endpoint__value_ps,6,5,0.9,0.9,340.0
direct_max__idelay_data_cntvaluein__lane1__dq9__ctrl_1__endpoint__value_ps,direct_max__dq_iologic__lane0__dq0__ctrl_none__endpoint__value_ps,6,5,0.9,0.9,336.5
control_fanout_spread__idelay_data_cntvaluein__lane0__no_bit__ctrl_2__lane_control_bit__value_ps,direct_max__idelay_ld__lane0__dq6__ctrl_none__endpoint__value_ps,6,5,0.9,0.9,285.5
lane_spread__dq_iologic__lane0__no_bit__ctrl_none__lane__value_ps,direct_max__dq_iologic__lane0__dq0__ctrl_none__endpoint__value_ps,6,5,0.9,0.9,285.0
lane_spread__dq_iologic__lane0__no_bit__ctrl_none__lane__value_ps,direct_max__idelay_data_cntvaluein__lane1__dq14__ctrl_0__endpoint__value_ps,6,5,0.9,0.9,222.0
control_fanout_spread__idelay_data_cntvaluein__lane0__no_bit__ctrl_2__lane_control_bit__value_ps,direct_max__dq_iologic__lane0__dq3__ctrl_none__endpoint__value_ps,6,5,0.883333,0.883333,391.5
direct_max__idelay_dqs_cntvaluein__lane0__dqs0__ctrl_2__endpoint__value_ps,direct_max__idelay_dqs_cntvaluein__lane1__dqs1__ctrl_2__endpoint__value_ps,6,5,0.866667,0.866667,1058.0
direct_max__idelay_dqs_cntvaluein__lane0__dqs0__ctrl_4__endpoint__value_ps,direct_max__idelay_ld__lane0__dq0__ctrl_none__endpoint__value_ps,6,5,0.866667,0.866667,773.0
